--- 分析日志 for: VAH05.csv ---
--- 协议: 10% power reduction ---

[高级数据清洗]: 发现并删除了 1082 个数据点，这些点属于被识别为毛刺的短序列。

清洗后发现 10952 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
18       | 36025.34        | 1684.22    | 恒压充电 (CV Charge)                    | I=  960.8mA, V=4.20V, P=  4.04W
19       | 37739.56        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 38609.61        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12773.7mA, V=3.78V, P=-48.29W
21       | 38684.56        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.2mA, V=3.85V, P=-14.58W
22       | 39484.56        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13943.6mA, V=3.40V, P=-47.32W
23       | 39619.56        | 654.18     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
24       | 40303.74        | 1237.91    | 恒流充电 (CC Charge)                    | I= 3002.4mA, V=4.03V, P= 12.09W
25       | 41571.65        | 1670.75    | 恒压充电 (CV Charge)                    | I=  968.5mA, V=4.20V, P=  4.07W
26       | 43272.40        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 44142.45        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12774.1mA, V=3.78V, P=-48.29W
28       | 44217.40        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3788.6mA, V=3.85V, P=-14.58W
29       | 45017.40        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13958.5mA, V=3.40V, P=-47.32W
30       | 45152.40        | 635.88     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
31       | 45818.28        | 1240.81    | 恒流充电 (CC Charge)                    | I= 3002.7mA, V=4.03V, P= 12.09W
32       | 47089.09        | 1667.14    | 恒压充电 (CV Charge)                    | I=  965.0mA, V=4.20V, P=  4.05W
33       | 48786.23        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 49656.28        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12768.5mA, V=3.78V, P=-48.29W
35       | 49731.23        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3788.4mA, V=3.85V, P=-14.58W
36       | 50531.23        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13964.8mA, V=3.40V, P=-47.33W
37       | 50666.23        | 643.67     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
38       | 51339.90        | 1240.25    | 恒流充电 (CC Charge)                    | I= 3003.0mA, V=4.03V, P= 12.09W
39       | 52610.15        | 1676.22    | 恒压充电 (CV Charge)                    | I=  965.0mA, V=4.20V, P=  4.05W
40       | 54316.37        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 55186.41        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12767.8mA, V=3.78V, P=-48.29W
42       | 55261.37        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3788.5mA, V=3.85V, P=-14.58W
43       | 56061.37        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13969.7mA, V=3.40V, P=-47.33W
44       | 56196.36        | 663.35     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
45       | 56889.71        | 1245.96    | 恒流充电 (CC Charge)                    | I= 3002.7mA, V=4.03V, P= 12.09W
46       | 58165.68        | 1658.82    | 恒压充电 (CV Charge)                    | I=  956.6mA, V=4.20V, P=  4.02W
47       | 59854.50        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 60724.55        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12761.1mA, V=3.79V, P=-48.29W
49       | 60799.50        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.3mA, V=3.85V, P=-14.58W
50       | 61599.50        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13966.0mA, V=3.40V, P=-47.32W
51       | 61734.50        | 718.60     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
52       | 62483.10        | 1250.54    | 恒流充电 (CC Charge)                    | I= 3002.5mA, V=4.02V, P= 12.08W
53       | 63763.65        | 1642.71    | 恒压充电 (CV Charge)                    | I=  964.4mA, V=4.20V, P=  4.05W
54       | 65436.36        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
55       | 66306.40        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12748.0mA, V=3.79V, P=-48.29W
56       | 66381.36        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3785.5mA, V=3.85V, P=-14.58W
57       | 67181.36        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13955.3mA, V=3.40V, P=-47.33W
58       | 67316.35        | 749.15     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
59       | 68095.50        | 1252.94    | 恒流充电 (CC Charge)                    | I= 3001.4mA, V=4.02V, P= 12.08W
60       | 69378.45        | 1635.16    | 恒压充电 (CV Charge)                    | I=  958.3mA, V=4.20V, P=  4.02W
61       | 71043.61        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
62       | 71913.66        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12740.6mA, V=3.79V, P=-48.29W
63       | 71988.61        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3783.9mA, V=3.86V, P=-14.58W
64       | 72788.61        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13946.0mA, V=3.40V, P=-47.33W
65       | 72923.61        | 817.08     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
66       | 73770.69        | 1255.49    | 恒流充电 (CC Charge)                    | I= 3001.1mA, V=4.02V, P= 12.08W
67       | 75056.18        | 1629.86    | 恒压充电 (CV Charge)                    | I=  952.0mA, V=4.20V, P=  4.00W
68       | 76716.04        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
69       | 77586.08        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12744.0mA, V=3.79V, P=-48.29W
70       | 77661.04        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3784.6mA, V=3.85V, P=-14.58W
71       | 78461.04        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13954.8mA, V=3.40V, P=-47.33W
72       | 78596.04        | 788.38     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
73       | 79414.42        | 1256.57    | 恒流充电 (CC Charge)                    | I= 3001.0mA, V=4.02V, P= 12.07W
74       | 80700.99        | 1636.06    | 恒压充电 (CV Charge)                    | I=  950.5mA, V=4.20V, P=  3.99W
75       | 82367.05        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
76       | 83237.10        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12745.0mA, V=3.79V, P=-48.29W
77       | 83312.05        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3784.9mA, V=3.85V, P=-14.58W
78       | 84112.05        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13963.1mA, V=3.40V, P=-47.33W
79       | 84247.05        | 759.66     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
80       | 85036.71        | 1255.58    | 恒流充电 (CC Charge)                    | I= 3001.0mA, V=4.02V, P= 12.07W
81       | 86322.29        | 1634.91    | 恒压充电 (CV Charge)                    | I=  951.5mA, V=4.20V, P=  4.00W
82       | 87987.21        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
83       | 88857.25        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12745.5mA, V=3.79V, P=-48.30W
84       | 88932.21        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3785.3mA, V=3.85V, P=-14.58W
85       | 89732.21        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13966.1mA, V=3.40V, P=-47.33W
86       | 89867.20        | 756.07     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
87       | 90653.27        | 1254.92    | 恒流充电 (CC Charge)                    | I= 3002.0mA, V=4.02V, P= 12.08W
88       | 91938.20        | 1638.28    | 恒压充电 (CV Charge)                    | I=  953.2mA, V=4.20V, P=  4.00W
89       | 93606.48        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
90       | 94476.52        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12746.7mA, V=3.79V, P=-48.29W
91       | 94551.48        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3784.7mA, V=3.85V, P=-14.58W
92       | 95351.48        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13969.4mA, V=3.40V, P=-47.32W
93       | 95486.48        | 761.98     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
94       | 96278.46        | 1256.01    | 恒流充电 (CC Charge)                    | I= 3002.5mA, V=4.02V, P= 12.08W
95       | 97564.47        | 1632.97    | 恒压充电 (CV Charge)                    | I=  951.6mA, V=4.20V, P=  4.00W
96       | 99227.44        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
97       | 100097.49       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12750.3mA, V=3.79V, P=-48.30W
98       | 100172.44       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.7mA, V=3.85V, P=-14.58W
99       | 100972.44       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13979.1mA, V=3.40V, P=-47.33W
100      | 101107.44       | 713.59     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
101      | 101851.03       | 1257.21    | 恒流充电 (CC Charge)                    | I= 3001.2mA, V=4.02V, P= 12.07W
102      | 103138.24       | 1641.47    | 恒压充电 (CV Charge)                    | I=  950.6mA, V=4.20V, P=  3.99W
103      | 104809.72       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
104      | 105679.76       | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12726.9mA, V=3.79V, P=-48.22W
105      | 105754.72       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.4mA, V=3.85V, P=-14.58W
106      | 106554.72       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13978.2mA, V=3.40V, P=-47.33W
107      | 106689.71       | 749.89     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
108      | 107469.60       | 1258.94    | 恒流充电 (CC Charge)                    | I= 3001.3mA, V=4.02V, P= 12.07W
109      | 108758.54       | 1640.78    | 恒压充电 (CV Charge)                    | I=  947.3mA, V=4.20V, P=  3.98W
110      | 110429.31       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
111      | 111299.36       | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12747.2mA, V=3.79V, P=-48.30W
112      | 111374.32       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.4mA, V=3.85V, P=-14.58W
113      | 112174.31       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13977.2mA, V=3.40V, P=-47.33W
114      | 112309.31       | 739.63     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
115      | 113078.94       | 1259.89    | 恒流充电 (CC Charge)                    | I= 3001.2mA, V=4.02V, P= 12.07W
116      | 114368.83       | 1638.15    | 恒压充电 (CV Charge)                    | I=  944.6mA, V=4.20V, P=  3.97W
117      | 116036.98       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
118      | 116907.03       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12749.7mA, V=3.79V, P=-48.30W
119      | 116981.98       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.9mA, V=3.85V, P=-14.58W
120      | 117781.98       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13984.0mA, V=3.39V, P=-47.33W
121      | 117916.98       | 753.98     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
122      | 118700.96       | 1259.96    | 恒流充电 (CC Charge)                    | I= 3003.1mA, V=4.02V, P= 12.08W
123      | 119990.92       | 1646.26    | 恒压充电 (CV Charge)                    | I=  946.7mA, V=4.20V, P=  3.98W
124      | 121667.18       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
125      | 122537.23       | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12749.1mA, V=3.79V, P=-48.29W
126      | 122612.19       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3785.2mA, V=3.85V, P=-14.57W
127      | 123412.18       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13987.3mA, V=3.39V, P=-47.32W
128      | 123547.18       | 721.86     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
129      | 124299.04       | 1258.00    | 恒流充电 (CC Charge)                    | I= 3003.2mA, V=4.02V, P= 12.08W
130      | 125587.04       | 1659.88    | 恒压充电 (CV Charge)                    | I=  934.7mA, V=4.20V, P=  3.93W
131      | 127276.92       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
132      | 128146.97       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12751.8mA, V=3.79V, P=-48.29W
133      | 128221.92       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3785.6mA, V=3.85V, P=-14.57W
134      | 129021.92       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13992.5mA, V=3.39V, P=-47.32W
135      | 129156.92       | 679.95     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
136      | 129866.87       | 1256.84    | 恒流充电 (CC Charge)                    | I= 3001.8mA, V=4.02V, P= 12.07W
137      | 131153.71       | 1658.38    | 恒压充电 (CV Charge)                    | I=  935.1mA, V=4.20V, P=  3.93W
138      | 132842.08       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
139      | 133712.13       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12759.7mA, V=3.79V, P=-48.30W
140      | 133787.09       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3788.0mA, V=3.85V, P=-14.58W
141      | 134587.08       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14002.6mA, V=3.39V, P=-47.33W
142      | 134722.08       | 683.70     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
143      | 135435.78       | 1255.72    | 恒流充电 (CC Charge)                    | I= 3002.7mA, V=4.02V, P= 12.07W
144      | 136721.50       | 1670.56    | 恒压充电 (CV Charge)                    | I=  938.7mA, V=4.20V, P=  3.94W
145      | 138422.06       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
146      | 139292.11       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12766.5mA, V=3.79V, P=-48.30W
147      | 139367.07       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3789.5mA, V=3.85V, P=-14.58W
148      | 140167.06       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14013.2mA, V=3.39V, P=-47.33W
149      | 140302.06       | 668.95     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
150      | 141001.01       | 1256.34    | 恒流充电 (CC Charge)                    | I= 3003.0mA, V=4.02V, P= 12.07W
151      | 142287.35       | 1681.07    | 恒压充电 (CV Charge)                    | I=  924.8mA, V=4.20V, P=  3.88W
152      | 143998.43       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
153      | 144868.47       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12765.9mA, V=3.79V, P=-48.30W
154      | 144943.43       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3789.6mA, V=3.85V, P=-14.58W
155      | 145743.43       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14014.6mA, V=3.39V, P=-47.33W
156      | 145878.42       | 679.17     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
157      | 146587.59       | 1259.16    | 恒流充电 (CC Charge)                    | I= 3003.0mA, V=4.02V, P= 12.07W
158      | 147876.76       | 1671.09    | 恒压充电 (CV Charge)                    | I=  935.0mA, V=4.20V, P=  3.93W
159      | 149577.85       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
160      | 150447.89       | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12759.8mA, V=3.79V, P=-48.30W
161      | 150522.85       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3788.9mA, V=3.85V, P=-14.58W
162      | 151322.85       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14007.1mA, V=3.39V, P=-47.33W
163      | 151457.84       | 709.81     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
164      | 152197.66       | 1261.70    | 恒流充电 (CC Charge)                    | I= 3002.9mA, V=4.02V, P= 12.08W
165      | 153489.36       | 1664.13    | 恒压充电 (CV Charge)                    | I=  930.0mA, V=4.20V, P=  3.91W
166      | 155183.49       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
167      | 156053.55       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12755.7mA, V=3.79V, P=-48.30W
168      | 156128.50       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3788.1mA, V=3.85V, P=-14.58W
169      | 156928.49       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14002.9mA, V=3.39V, P=-47.33W
170      | 157063.49       | 752.75     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
171      | 157846.24       | 1264.09    | 恒流充电 (CC Charge)                    | I= 3002.3mA, V=4.02V, P= 12.08W
172      | 159140.33       | 1654.01    | 恒压充电 (CV Charge)                    | I=  925.9mA, V=4.20V, P=  3.89W
173      | 160824.34       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
174      | 161694.38       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12752.5mA, V=3.79V, P=-48.30W
175      | 161769.34       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.5mA, V=3.85V, P=-14.58W
176      | 162569.34       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14002.0mA, V=3.39V, P=-47.33W
177      | 162704.33       | 747.35     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
178      | 163481.69       | 1264.79    | 恒流充电 (CC Charge)                    | I= 3001.8mA, V=4.02V, P= 12.08W
179      | 164776.48       | 1654.42    | 恒压充电 (CV Charge)                    | I=  924.5mA, V=4.20V, P=  3.88W
180      | 166460.90       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
181      | 167330.94       | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12750.7mA, V=3.79V, P=-48.30W
182      | 167405.90       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.9mA, V=3.85V, P=-14.58W
183      | 168205.90       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14000.0mA, V=3.39V, P=-47.33W
184      | 168340.89       | 749.46     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
185      | 169120.36       | 1263.55    | 恒流充电 (CC Charge)                    | I= 3001.1mA, V=4.02V, P= 12.08W
186      | 170413.91       | 1659.45    | 恒压充电 (CV Charge)                    | I=  925.9mA, V=4.20V, P=  3.89W
187      | 172103.36       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
188      | 172973.40       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12750.3mA, V=3.79V, P=-48.30W
189      | 173048.36       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.9mA, V=3.85V, P=-14.58W
190      | 173848.36       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13998.8mA, V=3.39V, P=-47.33W
191      | 173983.35       | 770.65     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
192      | 174784.00       | 1265.30    | 恒流充电 (CC Charge)                    | I= 3001.0mA, V=4.02V, P= 12.08W
193      | 176079.30       | 1661.53    | 恒压充电 (CV Charge)                    | I=  922.5mA, V=4.20V, P=  3.87W
194      | 177770.83       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
195      | 178640.88       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12753.2mA, V=3.79V, P=-48.30W
196      | 178715.83       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.9mA, V=3.85V, P=-14.58W
197      | 179515.83       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14003.3mA, V=3.39V, P=-47.33W
198      | 179650.83       | 763.86     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
199      | 180444.68       | 1265.91    | 恒流充电 (CC Charge)                    | I= 3000.8mA, V=4.02V, P= 12.07W
200      | 181740.59       | 1660.68    | 恒压充电 (CV Charge)                    | I=  921.8mA, V=4.20V, P=  3.87W
201      | 183431.27       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
202      | 184301.32       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12752.2mA, V=3.79V, P=-48.30W
203      | 184376.28       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.0mA, V=3.85V, P=-14.58W
204      | 185176.27       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14004.2mA, V=3.39V, P=-47.33W
205      | 185311.27       | 788.82     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
206      | 186130.09       | 1265.72    | 恒流充电 (CC Charge)                    | I= 3000.9mA, V=4.02V, P= 12.07W
207      | 187425.81       | 1667.53    | 恒压充电 (CV Charge)                    | I=  921.7mA, V=4.20V, P=  3.87W
208      | 189123.34       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
209      | 189993.38       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12753.2mA, V=3.79V, P=-48.30W
210      | 190068.34       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3786.9mA, V=3.85V, P=-14.58W
211      | 190868.34       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14006.7mA, V=3.39V, P=-47.33W
212      | 191003.33       | 776.12     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
213      | 191809.45       | 1265.17    | 恒流充电 (CC Charge)                    | I= 3001.1mA, V=4.02V, P= 12.07W
214      | 193104.63       | 1666.74    | 恒压充电 (CV Charge)                    | I=  921.8mA, V=4.20V, P=  3.87W
215      | 194801.37       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
216      | 195671.42       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12755.8mA, V=3.79V, P=-48.30W
217      | 195746.37       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.3mA, V=3.85V, P=-14.58W
218      | 196546.37       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14012.9mA, V=3.39V, P=-47.33W
219      | 196681.37       | 757.17     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
220      | 197468.54       | 1266.09    | 恒流充电 (CC Charge)                    | I= 3001.5mA, V=4.02V, P= 12.08W
221      | 198764.63       | 1665.36    | 恒压充电 (CV Charge)                    | I=  921.0mA, V=4.20V, P=  3.87W
222      | 200459.98       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
223      | 201330.03       | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12757.7mA, V=3.79V, P=-48.29W
224      | 201404.99       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.6mA, V=3.85V, P=-14.58W
225      | 202204.98       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14017.6mA, V=3.39V, P=-47.33W
226      | 202339.98       | 735.82     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
227      | 203105.80       | 1266.07    | 恒流充电 (CC Charge)                    | I= 3001.7mA, V=4.02V, P= 12.08W
228      | 204401.87       | 1661.78    | 恒压充电 (CV Charge)                    | I=  921.4mA, V=4.20V, P=  3.87W
229      | 206093.65       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
230      | 206963.70       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12757.1mA, V=3.79V, P=-48.29W
231      | 207038.65       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.0mA, V=3.85V, P=-14.57W
