--- 分析日志 for: VAH27.csv ---
--- 协议: Baseline ---

[高级数据清洗]: 发现并删除了 1 个数据点，这些点属于被识别为毛刺的短序列。

清洗后发现 4139 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
89       | 97672.14        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
90       | 98542.19        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14339.9mA, V=3.75V, P=-53.67W
91       | 98617.14        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4269.9mA, V=3.81V, P=-16.26W
92       | 99417.14        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16140.6mA, V=3.27V, P=-52.56W
93       | 99552.13        | 803.09     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
94       | 100385.22       | 1460.43    | 恒流充电 (CC Charge)                    | I= 2987.2mA, V=3.99V, P= 11.93W
95       | 101875.65       | 1734.52    | 恒压充电 (CV Charge)                    | I=  943.2mA, V=4.20V, P=  3.96W
96       | 103640.17       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
97       | 104510.22       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14342.9mA, V=3.75V, P=-53.67W
98       | 104585.17       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4270.2mA, V=3.81V, P=-16.26W
99       | 105385.17       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16151.8mA, V=3.27V, P=-52.56W
100      | 105520.17       | 781.65     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
101      | 106331.82       | 1459.71    | 恒流充电 (CC Charge)                    | I= 2987.4mA, V=3.99V, P= 11.93W
102      | 107821.54       | 1730.25    | 恒压充电 (CV Charge)                    | I=  945.3mA, V=4.20V, P=  3.97W
103      | 109581.79       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
104      | 110451.84       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14348.9mA, V=3.74V, P=-53.67W
105      | 110526.79       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4270.6mA, V=3.81V, P=-16.26W
106      | 111326.79       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16162.9mA, V=3.27V, P=-52.56W
107      | 111461.78       | 773.91     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
108      | 112265.70       | 1461.84    | 恒流充电 (CC Charge)                    | I= 2987.3mA, V=3.99V, P= 11.93W
109      | 113757.54       | 1709.27    | 恒压充电 (CV Charge)                    | I=  959.7mA, V=4.20V, P=  4.03W
110      | 115496.81       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
111      | 116366.86       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14355.4mA, V=3.74V, P=-53.68W
112      | 116441.81       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4271.9mA, V=3.81V, P=-16.26W
113      | 117241.81       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16179.1mA, V=3.26V, P=-52.57W
114      | 117376.80       | 753.45     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
115      | 118160.26       | 1461.27    | 恒流充电 (CC Charge)                    | I= 2987.5mA, V=3.99V, P= 11.93W
116      | 119651.53       | 1733.13    | 恒压充电 (CV Charge)                    | I=  947.0mA, V=4.20V, P=  3.98W
117      | 121414.66       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
118      | 122284.71       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14357.1mA, V=3.74V, P=-53.67W
119      | 122359.66       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.6mA, V=3.81V, P=-16.26W
120      | 123159.66       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16189.3mA, V=3.26V, P=-52.56W
121      | 123294.65       | 721.00     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
122      | 124045.66       | 1460.95    | 恒流充电 (CC Charge)                    | I= 2987.5mA, V=3.99V, P= 11.92W
123      | 125536.60       | 1756.49    | 恒压充电 (CV Charge)                    | I=  934.0mA, V=4.20V, P=  3.92W
124      | 127323.09       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
125      | 128193.14       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14358.6mA, V=3.74V, P=-53.67W
126      | 128268.09       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.8mA, V=3.81V, P=-16.26W
127      | 129068.09       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16197.9mA, V=3.26V, P=-52.57W
128      | 129203.09       | 722.53     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
129      | 129955.62       | 1461.18    | 恒流充电 (CC Charge)                    | I= 2987.6mA, V=3.99V, P= 11.92W
130      | 131446.81       | 1757.85    | 恒压充电 (CV Charge)                    | I=  932.4mA, V=4.20V, P=  3.92W
131      | 133234.66       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
132      | 134104.70       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14362.1mA, V=3.74V, P=-53.67W
133      | 134179.66       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.1mA, V=3.81V, P=-16.27W
134      | 134979.66       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16205.8mA, V=3.26V, P=-52.57W
135      | 135114.66       | 728.27     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
136      | 135872.92       | 1460.60    | 恒流充电 (CC Charge)                    | I= 2987.1mA, V=3.99V, P= 11.92W
137      | 137363.52       | 1757.77    | 恒压充电 (CV Charge)                    | I=  933.5mA, V=4.20V, P=  3.92W
138      | 139151.29       | 862.26     | 静置 (Rest)                           | I=    0.0mA, V=5.62V, P=  0.00W
139      | 140023.56       | 72.74      | 任务剖面: 起飞 (Take-off)                 | I=-14528.9mA, V=3.72V, P=-54.04W
140      | 140096.29       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.7mA, V=3.81V, P=-16.26W
141      | 140896.29       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16207.5mA, V=3.26V, P=-52.55W
142      | 141031.29       | 718.82     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
143      | 141780.11       | 1461.77    | 恒流充电 (CC Charge)                    | I= 2988.6mA, V=3.99V, P= 11.93W
144      | 143271.88       | 1769.93    | 恒压充电 (CV Charge)                    | I=  935.1mA, V=4.20V, P=  3.93W
145      | 145071.81       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
146      | 145941.85       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14357.4mA, V=3.74V, P=-53.66W
147      | 146016.81       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.4mA, V=3.81V, P=-16.26W
148      | 146816.81       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16207.1mA, V=3.26V, P=-52.56W
149      | 146951.80       | 732.58     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
150      | 147714.38       | 1462.95    | 恒流充电 (CC Charge)                    | I= 2988.6mA, V=3.99V, P= 11.93W
151      | 149207.33       | 1757.67    | 恒压充电 (CV Charge)                    | I=  931.3mA, V=4.20V, P=  3.91W
152      | 150995.01       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
153      | 151865.06       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14352.5mA, V=3.74V, P=-53.67W
154      | 151940.01       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4271.5mA, V=3.81V, P=-16.26W
155      | 152740.01       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16197.0mA, V=3.26V, P=-52.56W
156      | 152875.00       | 769.08     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
157      | 153674.08       | 1464.75    | 恒流充电 (CC Charge)                    | I= 2988.6mA, V=3.99V, P= 11.93W
158      | 155168.83       | 1737.60    | 恒压充电 (CV Charge)                    | I=  940.9mA, V=4.20V, P=  3.95W
159      | 156936.43       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
160      | 157806.48       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14351.2mA, V=3.74V, P=-53.68W
161      | 157881.43       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4271.4mA, V=3.81V, P=-16.26W
162      | 158681.43       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16191.7mA, V=3.26V, P=-52.55W
163      | 158816.43       | 806.93     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
164      | 159653.36       | 1468.67    | 恒流充电 (CC Charge)                    | I= 2988.1mA, V=3.99V, P= 11.92W
165      | 161152.03       | 1708.12    | 恒压充电 (CV Charge)                    | I=  950.2mA, V=4.20V, P=  3.99W
166      | 162890.16       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
167      | 163760.21       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14344.3mA, V=3.74V, P=-53.67W
168      | 163835.16       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4270.7mA, V=3.81V, P=-16.26W
169      | 164635.16       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16186.8mA, V=3.26V, P=-52.55W
170      | 164770.16       | 810.58     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
171      | 165610.73       | 1468.84    | 恒流充电 (CC Charge)                    | I= 2987.9mA, V=3.99V, P= 11.92W
172      | 167109.57       | 1735.23    | 恒压充电 (CV Charge)                    | I=  936.5mA, V=4.20V, P=  3.93W
173      | 168874.81       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
174      | 169744.86       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14347.8mA, V=3.74V, P=-53.68W
175      | 169819.81       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4271.2mA, V=3.81V, P=-16.26W
176      | 170619.81       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16191.8mA, V=3.26V, P=-52.56W
177      | 170754.80       | 801.78     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
178      | 171586.59       | 1467.93    | 恒流充电 (CC Charge)                    | I= 2988.2mA, V=3.99V, P= 11.92W
179      | 173084.52       | 1735.52    | 恒压充电 (CV Charge)                    | I=  935.8mA, V=4.20V, P=  3.93W
180      | 174850.04       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
181      | 175720.10       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14343.9mA, V=3.74V, P=-53.67W
182      | 175795.05       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4270.9mA, V=3.81V, P=-16.26W
183      | 176595.05       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16193.5mA, V=3.26V, P=-52.56W
184      | 176730.04       | 817.12     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
185      | 177577.17       | 1467.53    | 恒流充电 (CC Charge)                    | I= 2987.5mA, V=3.99V, P= 11.92W
186      | 179074.70       | 1737.76    | 恒压充电 (CV Charge)                    | I=  936.1mA, V=4.20V, P=  3.93W
187      | 180842.46       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
188      | 181712.51       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14347.8mA, V=3.74V, P=-53.67W
189      | 181787.46       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4271.2mA, V=3.81V, P=-16.26W
190      | 182587.46       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16204.0mA, V=3.26V, P=-52.56W
191      | 182722.46       | 812.83     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
192      | 183565.28       | 1467.36    | 恒流充电 (CC Charge)                    | I= 2988.4mA, V=3.99V, P= 11.92W
193      | 185062.64       | 1741.11    | 恒压充电 (CV Charge)                    | I=  921.8mA, V=4.20V, P=  3.87W
194      | 186833.75       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
195      | 187703.80       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14351.9mA, V=3.74V, P=-53.67W
196      | 187778.75       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4271.9mA, V=3.81V, P=-16.26W
197      | 188578.75       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16213.2mA, V=3.26V, P=-52.55W
198      | 188713.75       | 781.62     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
199      | 189525.37       | 1467.85    | 恒流充电 (CC Charge)                    | I= 2988.3mA, V=3.99V, P= 11.92W
200      | 191023.23       | 1708.01    | 恒压充电 (CV Charge)                    | I=  951.6mA, V=4.20V, P=  4.00W
201      | 192761.23       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
202      | 193631.29       | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14356.8mA, V=3.74V, P=-53.67W
203      | 193706.24       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.8mA, V=3.81V, P=-16.26W
204      | 194506.24       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16222.9mA, V=3.25V, P=-52.56W
205      | 194641.23       | 773.47     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
206      | 195444.70       | 1469.49    | 恒流充电 (CC Charge)                    | I= 2988.1mA, V=3.99V, P= 11.92W
207      | 196944.19       | 1753.94    | 恒压充电 (CV Charge)                    | I=  924.5mA, V=4.20V, P=  3.88W
208      | 198728.13       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
209      | 199598.19       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14354.0mA, V=3.74V, P=-53.66W
210      | 199673.14       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.9mA, V=3.81V, P=-16.26W
211      | 200473.13       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16227.3mA, V=3.25V, P=-52.57W
212      | 200608.13       | 786.74     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
213      | 201424.88       | 1466.23    | 恒流充电 (CC Charge)                    | I= 2987.9mA, V=3.99V, P= 11.92W
214      | 202921.11       | 1761.39    | 恒压充电 (CV Charge)                    | I=  925.9mA, V=4.20V, P=  3.89W
215      | 204712.50       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
216      | 205582.56       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14359.2mA, V=3.74V, P=-53.67W
217      | 205657.51       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.1mA, V=3.81V, P=-16.26W
218      | 206457.50       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16228.0mA, V=3.25V, P=-52.56W
219      | 206592.50       | 777.92     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
220      | 207400.42       | 1466.33    | 恒流充电 (CC Charge)                    | I= 2988.4mA, V=3.99V, P= 11.92W
221      | 208896.75       | 1759.06    | 恒压充电 (CV Charge)                    | I=  925.7mA, V=4.20V, P=  3.89W
222      | 210685.81       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
223      | 211555.87       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14360.7mA, V=3.74V, P=-53.67W
224      | 211630.81       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.9mA, V=3.81V, P=-16.26W
225      | 212430.81       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16235.1mA, V=3.25V, P=-52.55W
226      | 212565.81       | 782.18     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
227      | 213377.99       | 1467.81    | 恒流充电 (CC Charge)                    | I= 2988.2mA, V=3.99V, P= 11.92W
228      | 214875.81       | 1613.21    | 恒压充电 (CV Charge)                    | I=  997.4mA, V=4.20V, P=  4.19W
229      | 216519.02       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.18V, P=  0.00W
230      | 217389.06       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14365.1mA, V=3.74V, P=-53.67W
231      | 217464.02       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.8mA, V=3.81V, P=-16.26W
232      | 218264.02       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16245.2mA, V=3.25V, P=-52.55W
